eventID,volume,particle,edep_MeV
42,BremsTarget,e-,0.473096
42,BremsTarget,e-,1.12007
42,BremsTarget,e-,0.303187
42,BremsTarget,e-,0.299839
42,BremsTarget,e-,0.197622
42,BremsTarget,e-,0.225713
42,BremsTarget,e-,0.837944
42,BremsTarget,e-,1.35481
42,BremsTarget,e-,1.32316
42,BremsTarget,e-,0.0405617
42,BremsTarget,e-,0.739777
42,BremsTarget,e-,0.576886
42,BremsTarget,e-,1.21614
42,BremsTarget,e-,1.49219
42,BremsTarget,e-,1.76351
42,BremsTarget,e-,1.78591
42,BremsTarget,e-,0.584479
42,BremsTarget,e-,3.70528
42,BremsTarget,e-,0.249798
42,BremsTarget,e-,0.691549
42,BremsTarget,e-,1.64207
42,BremsTarget,e-,1.37241
42,BremsTarget,e-,0.759621
42,BremsTarget,e-,0.640903
42,BremsTarget,e-,0.141716
42,BremsTarget,e-,0.12423
42,BremsTarget,e+,0.251067
42,BremsTarget,e+,0.736763
42,BremsTarget,e+,0.121526
42,BremsTarget,e+,0.965988
42,BremsTarget,e+,0.356513
42,BremsTarget,e+,0.33531
42,BremsTarget,e+,1.27313
42,BremsTarget,e+,0.153526
42,BremsTarget,e+,0.335825
42,BremsTarget,e+,0.756071
42,BremsTarget,e+,0.533398
42,BremsTarget,gamma,0.012103
42,BremsTarget,e-,0.107009
42,BremsTarget,gamma,0.069529
42,BremsTarget,e-,0.116796
42,BremsTarget,e-,0.333243
42,BremsTarget,e-,1.43309
42,BremsTarget,e-,0.780543
42,BremsTarget,e-,0.350723
42,BremsTarget,e-,0.129646
42,BremsTarget,e-,0.266905
42,BremsTarget,e-,0.689708
42,BremsTarget,e-,0.991598
42,BremsTarget,e-,0.882112
42,BremsTarget,gamma,0.069529
42,BremsTarget,e-,0.0838172
42,BremsTarget,e-,0.170044
42,BremsTarget,gamma,0.069529
42,BremsTarget,e-,0.0722668
42,BremsTarget,e-,0.331611
42,BremsTarget,e+,1.87677
42,BremsTarget,e+,1.9327
42,BremsTarget,e+,0.0880366
42,BremsTarget,e+,0.119019
42,BremsTarget,e+,2.06476
42,BremsTarget,e+,0.424919
42,BremsTarget,e+,1.48058
42,BremsTarget,e+,1.46551
42,BremsTarget,e+,1.69285
42,BremsTarget,e+,0.180373
42,BremsTarget,e+,1.05817
42,BremsTarget,e+,0.201833
42,BremsTarget,gamma,0.069529
42,BremsTarget,e-,0.0554362
42,BremsTarget,gamma,0.069529
42,BremsTarget,e-,0.0414708
42,BremsTarget,e-,0.00110194
42,BremsTarget,e-,0.428669
42,BremsTarget,e-,1.18522
42,BremsTarget,e-,1.72002
42,BremsTarget,e-,1.34692
42,BremsTarget,e-,0.85115
42,BremsTarget,e-,0.58045
42,BremsTarget,e-,0.463867
42,BremsTarget,e-,0.557297
42,BremsTarget,e-,2.53109
42,BremsTarget,e-,0.215174
42,BremsTarget,gamma,0.069529
42,BremsTarget,e-,0.15309
42,BremsTarget,gamma,0.069529
42,BremsTarget,e-,0.0336377
42,BremsTarget,gamma,0.069529
42,BremsTarget,e-,0.0702783
42,BremsTarget,e-,0.00738897
42,BremsTarget,e-,0.0403208
42,BremsTarget,e-,0.0250052
42,BremsTarget,gamma,0.069529
42,BremsTarget,e-,0.193123
42,BremsTarget,e-,0.150261
42,BremsTarget,e-,1.82443
42,BremsTarget,e-,0.0809641
42,BremsTarget,e-,0.0114416
42,BremsTarget,e-,1.68419
42,BremsTarget,e-,1.12208
42,BremsTarget,e-,0.788998
42,BremsTarget,e-,1.34587
42,BremsTarget,gamma,0.069529
42,BremsTarget,e-,0.707913
42,BremsTarget,gamma,0.069529
42,BremsTarget,e-,0.0329621
42,BremsTarget,gamma,0.069529
42,BremsTarget,e-,0.443377
42,BremsTarget,e+,0.387048
42,BremsTarget,e+,2.21283
42,BremsTarget,e+,1.34243
42,BremsTarget,e+,3.17284
42,BremsTarget,e+,0.711098
42,BremsTarget,gamma,0.069529
42,BremsTarget,e-,0.361452
42,BremsTarget,e-,0.0800182
42,BremsTarget,gamma,0.069529
42,BremsTarget,e-,0.154599
42,BremsTarget,e-,0.286871
42,BremsTarget,gamma,0.012103
42,BremsTarget,e-,0.203921
42,BremsTarget,gamma,0.012103
42,BremsTarget,e-,0.229145
42,BremsTarget,gamma,0.069529
42,BremsTarget,e-,0.387073
42,BremsTarget,gamma,0.069529
42,BremsTarget,e-,0.173194
42,BremsTarget,e-,0.0251006
42,BremsTarget,e-,4.60634
42,BremsTarget,e-,1.29536
42,BremsTarget,e-,1.18302
42,BremsTarget,e-,1.97692
42,BremsTarget,e-,0.148722
42,BremsTarget,e-,0.836223
42,BremsTarget,gamma,0.069529
42,BremsTarget,e-,0.0744938
42,BremsTarget,gamma,0.069529
42,BremsTarget,e-,0.141637
42,BremsTarget,gamma,0.069529
42,BremsTarget,e-,0.191508
42,BremsTarget,e-,0.416781
42,BremsTarget,e-,0.0110229
42,BremsTarget,e+,0.340773
42,BremsTarget,e+,0.00285169
42,BremsTarget,e+,0.128986
42,BremsTarget,e+,0.344985
42,BremsTarget,e+,0.928302
42,BremsTarget,e+,0.222168
42,BremsTarget,e+,0.524274
42,BremsTarget,e+,0.547582
42,BremsTarget,e+,0.142903
42,BremsTarget,e+,0.0240032
42,BremsTarget,e+,1.65666
42,BremsTarget,e+,2.66142
42,BremsTarget,e+,0.0649247
42,BremsTarget,e+,0.681296
42,BremsTarget,e+,0.987027
42,BremsTarget,e+,0.00303562
42,BremsTarget,e+,0.997099
42,BremsTarget,e+,0.193815
42,BremsTarget,e+,1.16362
42,BremsTarget,e+,1.25683
42,BremsTarget,e+,0.21056
42,BremsTarget,e+,0.169745
42,BremsTarget,e+,0.251831
42,BremsTarget,e+,0.4291
42,BremsTarget,e+,0.335451
42,BremsTarget,e+,0.82174
42,BremsTarget,e+,0.129012
42,BremsTarget,e+,1.27765
42,BremsTarget,e+,0.040707
42,BremsTarget,e+,1.16297
42,BremsTarget,e+,0.772198
42,BremsTarget,gamma,0.011546
42,BremsTarget,e-,0.158838
42,BremsTarget,e-,0.24633
42,BremsTarget,gamma,0.011546
42,BremsTarget,e-,0.0945012
42,Scint2,e-,0.0285814
42,Scint2,e-,0.313075
42,Scint2,e-,0.298253
42,BremsTarget,e+,0.56397
42,BremsTarget,e+,0.242362
42,BremsTarget,e+,0.436926
42,BremsTarget,e+,1.13854
42,BremsTarget,e-,1.85979
42,BremsTarget,e-,0.323589
42,Phantom,e-,0.790952
42,Phantom,e-,3.57502
42,Phantom,e-,0.165758
42,Phantom,e-,0.954001
42,Phantom,e-,0.0581445
42,Scint1,e-,0.778462
42,Phantom,e-,0.0379262
42,Phantom,e-,0.0304105
42,Phantom,e-,0.0773519
42,Phantom,e-,0.0301764
42,Phantom,e-,0.0322044
42,Phantom,e-,0.0437731
42,Phantom,e-,0.0594023
42,Phantom,e-,0.260344
42,Phantom,gamma,0.000538
42,Phantom,e-,0.00331788
42,Phantom,e-,0.389949
42,Phantom,e-,0.449987
42,Phantom,e-,0.625681
42,Phantom,e-,0.603265
42,Phantom,e-,0.335268
42,Phantom,e-,0.302266
42,BremsTarget,gamma,0.012103
42,BremsTarget,e-,0.284398
42,BremsTarget,e-,0.122105
42,BremsTarget,e+,0.735237
42,BremsTarget,e+,0.443817
42,BremsTarget,e+,1.97347
42,BremsTarget,e+,4.24501
42,BremsTarget,e+,1.17329
42,BremsTarget,e+,1.06319
42,BremsTarget,e+,0.511262
42,BremsTarget,gamma,0.069529
42,BremsTarget,e-,0.253818
42,BremsTarget,e-,3.22518
42,BremsTarget,e-,0.939631
42,BremsTarget,e-,0.112693
42,BremsTarget,e-,0.893324
42,BremsTarget,gamma,0.069529
42,BremsTarget,e-,0.028429
42,BremsTarget,e-,0.0329412
42,BremsTarget,gamma,0.069529
42,BremsTarget,e-,0.0591441
42,BremsTarget,e-,0.0575331
42,BremsTarget,e-,0.249307
42,BremsTarget,gamma,0.069529
42,BremsTarget,e-,0.35286
42,BremsTarget,gamma,0.069529
42,BremsTarget,e-,0.179788
42,BremsTarget,e-,0.178075
42,BremsTarget,e-,3.37091
42,BremsTarget,e-,3.04546
42,BremsTarget,e-,0.0762266
42,BremsTarget,e-,0.0977656
42,BremsTarget,e-,0.0595588
42,BremsTarget,e-,0.0958485
42,BremsTarget,e-,1.86927
42,BremsTarget,e-,0.364722
42,BremsTarget,e-,0.295001
42,BremsTarget,e-,0.260035
42,BremsTarget,e-,0.174058
42,BremsTarget,e-,0.035686
42,BremsTarget,e-,0.597634
42,BremsTarget,e-,0.275802
42,BremsTarget,e-,0.631125
42,BremsTarget,e-,1.26688
42,BremsTarget,e-,0.314907
42,BremsTarget,gamma,0.069529
42,BremsTarget,e-,0.103772
42,BremsTarget,e-,0.804524
42,BremsTarget,e-,0.497645
42,BremsTarget,e-,0.267535
42,BremsTarget,e-,0.22106
42,BremsTarget,e-,0.272537
42,BremsTarget,e-,0.183422
42,BremsTarget,e-,0.220471
42,BremsTarget,e-,0.991762
42,BremsTarget,gamma,0.069529
42,BremsTarget,e-,0.123029
42,BremsTarget,e+,0.714586
42,BremsTarget,e+,0.0772827
42,BremsTarget,e-,0.630852
42,BremsTarget,e-,0.0715648
42,BremsTarget,e+,1.09785
42,BremsTarget,e+,1.13827
42,BremsTarget,e+,0.588096
42,BremsTarget,e+,1.00835
42,BremsTarget,e+,0.197328
42,BremsTarget,e+,0.557314
42,BremsTarget,e+,0.0785439
42,BremsTarget,e+,0.15476
42,BremsTarget,e-,0.0797269
42,BremsTarget,e-,0.0434504
42,BremsTarget,e-,0.044368
42,BremsTarget,e-,0.295252
42,BremsTarget,gamma,0.069529
42,BremsTarget,e-,0.0340293
42,BremsTarget,gamma,0.011546
42,BremsTarget,e-,0.0182691
42,BremsTarget,e-,0.116359
42,BremsTarget,gamma,0.012103
42,BremsTarget,e-,0.330879
42,BremsTarget,e-,0.310438
42,BremsTarget,e-,1.83467
42,BremsTarget,e-,0.0277969
42,BremsTarget,e-,0.690743
42,BremsTarget,e-,0.745852
42,BremsTarget,e-,0.113904
42,BremsTarget,gamma,0.069529
42,BremsTarget,e-,0.0327042
42,BremsTarget,gamma,0.069529
42,BremsTarget,e-,0.102235
42,BremsTarget,gamma,0.069529
42,BremsTarget,e-,0.0518246
42,BremsTarget,e-,0.250687
42,Bre,Brem,e-,0.0177724
30,BremsTarget,e-,0.0286125
30,BremsTarget,e-,0.0250516
30,BremsTarget,e-,0.0375981
30,BremsTarget,e-,0.0641734
30,BremsTarget,gamma,0.002577
30,BremsTarget,e-,0.508422
30,BremsTarget,e-,0.0193208
30,BremsTarget,e-,0.594768
30,BremsTarget,gamma,0.069529
30,BremsTarget,e-,0.113698
30,BremsTarget,gamma,0.069529
30,BremsTarget,e-,0.153859
30,BremsTarget,e-,0.287611
30,BremsTarget,e+,1.39242
30,BremsTarget,e+,0.884912
30,BremsTarget,e+,0.910969
30,BremsTarget,e+,0.0508861
30,BremsTarget,gamma,0.002577
30,BremsTarget,e-,0.252414
30,BremsTarget,e-,0.0764413
30,BremsTarget,e-,0.057691
30,BremsTarget,e-,0.390001
30,BremsTarget,e-,1.09993
30,BremsTarget,e-,0.548834
30,BremsTarget,e-,1.42003
30,BremsTarget,e-,0.0944524
30,BremsTarget,e-,0.439183
30,BremsTarget,e-,0.628913
30,BremsTarget,e-,1.86407
30,BremsTarget,gamma,0.069529
30,BremsTarget,e-,0.126384
30,BremsTarget,gamma,0.069529
30,BremsTarget,e-,1.16404
30,BremsTarget,gamma,0.069529
30,BremsTarget,e-,0.239093
30,BremsTarget,e+,0.498427
30,BremsTarget,e+,0.694813
30,BremsTarget,e+,0.494782
30,BremsTarget,e-,1.08103
30,BremsTarget,e-,0.411944
30,BremsTarget,e-,0.307448
30,BremsTarget,e-,0.404042
30,BremsTarget,e-,0.214
30,BremsTarget,e-,0.378882
30,BremsTarget,e-,0.275389
30,BremsTarget,e-,0.190333
30,BremsTarget,e-,0.0932804
30,BremsTarget,e-,0.140012
30,BremsTarget,e-,0.231922
30,BremsTarget,e-,0.321864
30,BremsTarget,e-,0.216789
30,BremsTarget,e-,0.24108
30,BremsTarget,e-,0.563547
30,BremsTarget,gamma,0.069529
30,BremsTarget,e-,0.0517123
30,BremsTarget,gamma,0.069529
30,BremsTarget,e-,0.0695151
30,BremsTarget,gamma,0.012103
30,BremsTarget,e-,0.0982471
30,BremsTarget,gamma,0.069529
30,BremsTarget,e-,0.407371
30,BremsTarget,gamma,0.069529
30,BremsTarget,e-,0.113696
30,BremsTarget,e-,0.423262
30,BremsTarget,e-,1.06138
30,BremsTarget,e-,1.41667
30,BremsTarget,gamma,0.069529
30,BremsTarget,e-,0.0738305
30,BremsTarget,e-,0.398038
30,BremsTarget,e-,2.46734
30,BremsTarget,e-,2.62612
30,BremsTarget,e-,3.80268
30,BremsTarget,e-,0.776022
30,BremsTarget,e-,0.118949
30,BremsTarget,e-,0.424897
30,BremsTarget,gamma,0.069529
30,BremsTarget,e-,0.0519871
30,BremsTarget,gamma,0.002823
30,BremsTarget,e-,0.222069
30,BremsTarget,e-,0.0221978
30,BremsTarget,gamma,0.069529
30,BremsTarget,e-,0.0469234
30,BremsTarget,e-,0.0845631
30,BremsTarget,e+,1.07757
30,BremsTarget,e+,0.689723
30,BremsTarget,e+,0.296677
30,BremsTarget,e+,0.801135
30,BremsTarget,e+,1.73274
30,BremsTarget,gamma,0.069529
30,BremsTarget,e-,0.44147
30,BremsTarget,gamma,0.069529
30,BremsTarget,e-,0.0498049
30,BremsTarget,e-,0.861252
30,BremsTarget,e-,0.642047
30,BremsTarget,e-,0.368893
30,BremsTarget,e-,0.143675
30,BremsTarget,e-,0.182281
30,BremsTarget,e-,0.0592932
30,BremsTarget,gamma,0.069529
30,BremsTarget,e-,0.13187
30,BremsTarget,e-,0.00417802
31,BremsTarget,e-,0.75385
31,BremsTarget,e-,1.59048
31,BremsTarget,e-,2.54697
31,BremsTarget,e-,0.0784143
31,BremsTarget,e-,0.00205436
31,BremsTarget,e-,0.0555289
31,BremsTarget,e-,0.735574
31,BremsTarget,e-,1.20743
31,BremsTarget,e-,1.03365
31,BremsTarget,e-,0.567405
31,BremsTarget,e-,0.706058
31,BremsTarget,e-,2.71418
31,BremsTarget,e-,0.0397544
31,BremsTarget,e-,1.75248
31,BremsTarget,e-,1.0267
31,BremsTarget,e-,1.20991
31,BremsTarget,e-,0.595507
31,BremsTarget,e-,0.694771
31,BremsTarget,e-,0.16114
31,BremsTarget,e-,0.355929
31,BremsTarget,e-,0.572564
31,BremsTarget,e-,0.445236
31,BremsTarget,e-,0.431708
31,BremsTarget,e-,0.177178
31,BremsTarget,e-,0.0267772
31,BremsTarget,e-,0.591519
31,BremsTarget,e-,0.00321489
31,BremsTarget,e-,0.751935
31,BremsTarget,e-,0.323653
31,BremsTarget,e-,0.599326
31,BremsTarget,e-,0.214436
31,Phantom,e-,0.882201
31,Phantom,e-,4.36792
31,Scint1,e-,0.830984
31,Scint2,e-,0.597108
31,Scint2,e-,0.268944
31,Scint2,e-,0.310969
31,Phantom,gamma,0.000538
31,Phantom,e-,0.0310971
31,Phantom,e-,0.138461
31,Phantom,e-,0.439125
31,Phantom,e-,0.417119
31,Phantom,e-,0.0284347
31,Scint2,e-,0.1085
31,Scint2,e-,0.00599517
31,Scint2,e-,0.419886
31,Phantom,e-,0.00221101
31,Scint1,e-,0.743913
31,BremsTarget,Hf176,0.486
31,BremsTarget,gamma,0.069529
31,BremsTarget,e-,0.0849481
31,BremsTarget,e-,0.215661
31,BremsTarget,e-,0.203859
31,BremsTarget,e-,0.05041
31,BremsTarget,e-,0.349183
31,BremsTarget,e-,0.895822
31,BremsTarget,e-,2.2155
31,BremsTarget,e-,0.274904
31,BremsTarget,proton,8.34822
31,BremsTarget,proton,5.9576
31,BremsTarget,proton,7.2306
31,BremsTarget,proton,6.55352
31,BremsTarget,proton,1.8106
31,BremsTarget,proton,6.52969
31,BremsTarget,proton,6.38751
31,BremsTarget,proton,7.04558
31,BremsTarget,proton,3.40639
31,BremsTarget,proton,0.117364
31,BremsTarget,proton,5.61846
31,BremsTarget,e-,0.222472
31,BremsTarget,e-,0.145499
31,BremsTarget,e+,0.289581
31,BremsTarget,e+,0.374963
31,BremsTarget,e+,0.152768
31,BremsTarget,e+,0.164523
31,BremsTarget,e+,1.51935
31,BremsTarget,e+,0.638061
31,BremsTarget,e+,0.868099
31,BremsTarget,e+,0.578763
31,BremsTarget,e+,0.192442
31,BremsTarget,e+,0.263599
31,BremsTarget,e+,0.346659
31,BremsTarget,e+,3.82845
31,BremsTarget,gamma,0.069529
31,BremsTarget,e-,0.226274
31,BremsTarget,e-,0.271427
31,BremsTarget,gamma,0.069529
31,BremsTarget,e-,0.601218
31,BremsTarget,gamma,0.069529
31,BremsTarget,e-,0.0872947
31,BremsTarget,e-,0.0597157
31,BremsTarget,gamma,0.012103
31,BremsTarget,e-,0.180304
31,BremsTarget,e-,0.112677
31,BremsTarget,gamma,0.069529
31,BremsTarget,e-,0.392354
31,Scint1,e-,0.157517
31,Scint1,e-,0.150689
31,Scint1,e-,0.279948
31,Scint1,e-,0.202814
31,BremsTarget,gamma,0.069529
31,BremsTarget,e-,0.145827
31,BremsTarget,e-,1.20088
31,BremsTarget,e-,0.669732
31,BremsTarget,e-,0.815491
31,BremsTarget,gamma,0.069529
31,BremsTarget,e-,0.0399874
31,BremsTarget,gamma,0.012103
31,BremsTarget,e-,0.221976
31,BremsTarget,e+,2.04921
31,BremsTarget,e+,0.598349
31,BremsTarget,e+,0.532052
31,BremsTarget,e+,0.44029
31,BremsTarget,e+,0.297915
31,BremsTarget,e+,1.57037
31,BremsTarget,gamma,0.069529
31,BremsTarget,e-,0.0999282
31,BremsTarget,e-,0.0127809
31,BremsTarget,e-,0.937056
31,BremsTarget,e-,0.0154923
31,BremsTarget,e-,2.99383
31,BremsTarget,e-,0.00462105
31,BremsTarget,e-,0.00842158
31,BremsTarget,e-,1.22893
31,BremsTarget,e-,0.0182708
31,BremsTarget,e-,0.02773
31,BremsTarget,e-,0.053273
31,BremsTarget,e-,1.73009
31,BremsTarget,e-,0.0159875
31,BremsTarget,e-,0.976432
31,BremsTarget,gamma,0.069529
31,BremsTarget,e-,0.126496
31,BremsTarget,gamma,0.069529
31,BremsTarget,e-,0.104282
31,BremsTarget,e-,2.00285
31,BremsTarget,e-,0.240013
31,BremsTarget,e+,0.0125274
31,BremsTarget,e+,0.425401
31,BremsTarget,e+,3.15668
31,BremsTarget,e+,0.718814
31,BremsTarget,gamma,0.012103
31,BremsTarget,e-,0.181498
31,BremsTarget,e-,0.317398
31,BremsTarget,gamma,0.069529
31,BremsTarget,e-,0.0425079
31,BremsTarget,e-,0.0604491
31,BremsTarget,e-,0.338513
31,BremsTarget,e-,0.545879
31,BremsTarget,e-,0.79838
31,BremsTarget,gamma,0.069529
31,BremsTarget,e-,0.27653
31,BremsTarget,e-,0.617227
31,BremsTarget,gamma,0.069529
31,BremsTarget,e-,0.0805218
31,BremsTarget,gamma,0.069529
31,BremsTarget,e-,0.298414
31,BremsTarget,gamma,0.069529
31,BremsTarget,e-,0.174991
31,Phantom,e-,0.529942
31,Phantom,e-,0.0504423
31,Phantom,e-,0.423533
31,Phantom,e-,0.390647
31,Phantom,e-,0.434224
31,Phantom,e-,0.286972
31,BremsTarget,gamma,0.069529
31,BremsTarget,e-,0.252968
31,BremsTarget,e-,0.258923
31,Phantom,e-,0.434469
31,Phantom,e-,0.339392
31,Phantom,e-,0.296501
31,BremsTarget,e+,1.76069
31,BremsTarget,gamma,0.069529
31,BremsTarget,e-,0.44147
31,BremsTarget,gamma,0.069529
31,BremsTarget,e-,0.44147
31,BremsTarget,e-,0.968354
31,BremsTarget,e-,1.08734
31,BremsTarget,gamma,0.069529
31,BremsTarget,e-,0.440404
31,BremsTarget,e+,1.26224
31,BremsTarget,gamma,0.012103
31,BremsTarget,e-,0.0357462
31,BremsTarget,e-,0.185412
31,BremsTarget,e-,0.173001
31,BremsTarget,e-,0.104737
31,BremsTarget,e-,0.0122171
31,BremsTarget,e-,0.767528
arget,e-,0.23938
27,BremsTarget,e+,1.25394
27,BremsTarget,e-,1.18438
27,BremsTarget,e-,0.0457739
27,BremsTarget,e+,0.393799
27,BremsTarget,e+,1.03057
27,BremsTarget,e+,2.65221
27,BremsTarget,e+,2.1938
27,BremsTarget,e+,0.917762
27,BremsTarget,e+,0.229926
27,BremsTarget,e+,0.591227
27,BremsTarget,e+,0.178318
27,BremsTarget,e+,3.34466
27,BremsTarget,e+,2.52626
27,BremBre
17,Phantom,e-,0.854106
17,Phantom,e-,0.402936
17,Scint1,e-,0.964065
17,Phantom,e-,0.336728
17,Phantom,e-,0.115027
17,Phantom,gamma,0.002829
17,Phantom,e-,0.00131603
17,BremsTarget,e+,0.784475
17,BremsTarget,e+,0.678115
17,BremsTarget,e+,0.287134
17,BremsTarget,e+,0.901741
17,BremsTarget,e+,2.92439
17,BremsTarget,e+,1.56877
17,BremsTarget,e+,1.00025
17,BremsTarget,e+,1.31483
17,BremsTarget,gamma,0.069529
17,BremsTarget,e-,0.44147
17,BremsTarget,gamma,0.012103
17,BremsTarget,e-,0.601868
17,BremsTarget,gamma,0.012103
17,BremsTarget,e-,0.193298
17,BremsTarget,e-,0.271856
17,BremsTarget,e-,2.83445
17,BremsTarget,e-,0.520275
17,BremsTarget,e-,0.987621
17,BremsTarget,e-,0.176784
17,BremsTarget,e-,1.01856
17,BremsTarget,e-,1.10375
17,BremsTarget,e-,0.271069
17,BremsTarget,gamma,0.069529
17,BremsTarget,e-,0.321763
17,BremsTarget,gamma,0.069529
17,BremsTarget,e-,0.117169
17,BremsTarget,e-,2.06397
17,BremsTarget,e+,2.26048
17,BremsTarget,e+,0.915949
17,BremsTarget,e+,0.399688
17,BremsTarget,e+,0.0095616
17,BremsTarget,e+,0.679002
17,BremsTarget,e+,3.53082
17,BremsTarget,e+,2.56342
